<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CTG,20170511,17.4882,17.4882,17.2031,17.2031,641050
CTG,20170510,17.0606,17.5833,17.0131,17.3932,1931930
CTG,20170509,16.7755,17.1081,16.7279,17.0606,844220
CTG,20170508,16.823,17.0131,16.7279,16.8705,703620
CTG,20170505,16.823,16.9655,16.7754,16.8705,421560
CTG,20170504,16.6329,17.1081,16.5379,16.918,973500
CTG,20170503,16.6804,16.7279,16.4903,16.6329,474500
CTG,20170428,16.4428,16.7755,16.3478,16.4903,692930
CTG,20170427,16.3477,16.5378,16.3477,16.4428,410720
CTG,20170426,16.1577,16.4428,16.1577,16.3477,475310
CTG,20170425,16.1576,16.4427,16.1101,16.2527,286970
CTG,20170424,16.2527,16.3477,16.1577,16.1576,363620
CTG,20170421,16.5378,16.5378,16.2051,16.2527,652400
CTG,20170420,16.5378,16.6804,16.3002,16.5378,453700
CTG,20170419,16.3953,16.5378,16.3953,16.4428,497490
CTG,20170418,16.1576,16.4427,16.1101,16.4428,1077960
CTG,20170417,16.6329,16.918,16.1577,16.1576,1623170
CTG,20170414,16.7279,16.8705,16.5378,16.6329,1645800
CTG,20170413,17.013,17.1556,16.8705,16.8705,954120
CTG,20170412,17.1081,17.3932,16.918,16.918,1144700
CTG,20170411,17.0131,17.2507,16.8705,17.2031,1238960
CTG,20170410,17.1081,17.2507,17.0131,17.0131,447310
CTG,20170407,17.0606,17.2031,16.9655,17.1081,681240
CTG,20170405,17.1556,17.2507,17.0131,17.1081,798240
CTG,20170404,17.2031,17.2507,17.0606,17.0606,775940
CTG,20170403,17.2506,17.2981,17.013,17.1081,1573370
CTG,20170331,17.5358,17.5358,17.1081,17.2031,1445170
CTG,20170330,17.4883,17.6784,17.4408,17.4408,992300
CTG,20170329,17.5358,17.5833,17.3932,17.4408,1098970
CTG,20170328,17.8685,17.9635,17.4883,17.5833,992200
CTG,20170327,18.0585,18.2961,17.7734,17.8685,1622690
CTG,20170324,17.6783,17.916,17.5833,17.7734,2471790
CTG,20170323,17.4408,17.6309,17.3458,17.5833,932740
