<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MSN,20150622,49.0253,50.2823,49.0253,50.2823,130780
MSN,20150619,49.0253,49.3395,47.7682,47.7682,683780
MSN,20150618,49.0253,49.0253,48.3968,48.711,49970
MSN,20150617,49.0252,49.3395,49.0252,49.0253,50560
MSN,20150616,49.9681,49.9681,49.3395,49.3395,49270
MSN,20150615,49.9681,49.9681,49.3396,49.6538,75540
MSN,20150612,50.5966,50.9109,49.9681,49.9681,49830
MSN,20150611,50.2823,50.5966,49.968,50.5966,55840
MSN,20150610,50.5966,50.5966,49.6538,50.2823,64730
MSN,20150609,49.9681,50.5966,49.6538,49.6538,15400
MSN,20150608,50.2823,50.9109,49.9681,49.9681,31750
MSN,20150605,50.9109,50.9109,50.2824,50.5966,2800
MSN,20150604,50.5966,50.9109,49.6538,49.9681,86400
MSN,20150603,51.5394,52.4822,50.2823,50.5966,89000
MSN,20150602,52.7965,52.7965,52.4822,52.4822,55130
MSN,20150601,52.7965,53.1108,52.4822,52.7965,265770
MSN,20150529,53.1107,53.1107,52.7964,52.7965,184200
MSN,20150528,52.7965,53.1108,52.4822,53.1107,153710
MSN,20150527,52.4822,53.1107,52.1679,52.7965,160660
MSN,20150526,51.8537,53.1108,51.8537,52.4822,351810
MSN,20150525,51.5394,52.1679,50.5966,51.8537,129490
MSN,20150522,50.2823,51.2251,49.3395,51.2251,125080
MSN,20150521,49.3395,50.2823,49.0252,50.2823,77390
MSN,20150520,49.0253,49.6539,49.0253,49.3395,25070
MSN,20150519,48.711,49.6538,48.3967,48.3968,152760
MSN,20150518,49.9681,49.9681,48.711,48.711,47590
MSN,20150515,50.2823,50.5966,49.0252,49.0253,60210
MSN,20150514,50.2823,50.2823,49.6538,50.2823,32340
MSN,20150513,49.6538,50.2823,49.6538,50.2823,1450
MSN,20150512,51.5394,51.5394,49.6538,49.6538,93750
MSN,20150511,51.8537,52.7965,51.8537,51.8537,201240
MSN,20150508,51.2251,51.8537,50.9109,51.8537,167370
MSN,20150507,50.9109,51.5394,50.5966,51.5394,144180
MSN,20150506,50.2823,50.9108,49.0252,50.5966,117740
MSN,20150505,50.5966,50.5966,49.3395,50.2823,14740
MSN,20150504,51.5394,51.5394,48.3968,50.2823,193200
MSN,20150427,51.8536,52.1679,50.9108,50.9109,127950
MSN,20150424,50.9109,51.2252,50.9109,51.2251,92090
MSN,20150423,50.5966,51.2252,50.5966,50.9109,97820
MSN,20150422,50.9109,50.9109,50.5966,50.9109,77210
MSN,20150421,50.9109,50.9109,50.2823,50.5966,113620
MSN,20150420,50.5966,50.9108,50.2823,50.5966,98780
MSN,20150417,49.6538,50.5966,49.6538,50.2823,137710
MSN,20150416,50.9109,51.2251,49.9681,49.9681,87880
MSN,20150415,49.9681,50.9109,49.6538,50.5966,230720
MSN,20150414,48.711,50.9109,48.711,49.9681,358940
MSN,20150413,47.1397,49.6538,47.1397,49.6538,272990
MSN,20150410,47.1397,48.3968,47.1397,47.1397,593880
MSN,20150409,46.8254,47.7682,46.5111,47.1397,111500
MSN,20150408,46.8254,46.8254,45.5683,46.8254,277580
MSN,20150407,46.8254,47.1397,45.8826,46.8254,137510
MSN,20150406,47.7682,47.7682,46.8254,46.8254,123110
MSN,20150403,47.454,48.0825,47.1397,47.1397,499450
MSN,20150402,47.7682,47.7682,47.1397,47.1397,182450
MSN,20150401,48.0825,48.3968,47.1397,47.1397,470880
MSN,20150331,48.3968,48.7111,47.7683,48.3968,310390
MSN,20150330,47.454,48.3968,47.454,48.3968,153520
MSN,20150327,48.3968,48.3968,47.1397,48.3968,525320
MSN,20150326,49.3395,49.6538,48.0825,48.3968,526170
MSN,20150325,49.9681,50.2823,49.0253,49.6538,538530
MSN,20150324,50.9109,51.5394,50.2824,50.5966,68630
MSN,20150323,49.9681,51.2251,49.9681,50.9109,179030
MSN,20150320,51.8537,52.168,49.6538,49.6538,1752250
MSN,20150319,53.425,53.425,51.8537,51.8537,285720
MSN,20150318,52.4822,53.425,52.4822,52.7965,58050
MSN,20150317,52.4822,53.425,52.1679,52.7965,104070
MSN,20150316,53.1107,54.682,53.1107,53.425,31770
MSN,20150313,55.3106,55.3106,54.682,54.682,31350
MSN,20150312,55.9391,55.9391,54.3677,54.9963,47600
MSN,20150311,55.3106,55.3106,54.3678,54.682,77110
MSN,20150310,54.0535,55.3106,54.0535,54.9963,34220
MSN,20150309,55.3106,56.5677,54.9963,55.3106,72100
MSN,20150306,55.3105,56.2533,55.3105,55.3106,166270
MSN,20150305,55.9391,56.2534,55.6249,55.6248,134530
MSN,20150304,57.1961,57.1961,56.2533,56.2534,263570
MSN,20150303,54.6821,57.1962,54.3678,56.5676,353320
MSN,20150302,53.7393,54.3678,53.7393,54.3678,121830
MSN,20150227,54.682,54.682,53.7392,53.7393,181680
MSN,20150226,54.0535,54.682,53.7392,54.682,125870
MSN,20150225,54.0535,54.0535,53.7392,54.0535,151230
MSN,20150224,53.425,54.0535,53.425,54.0535,345530
MSN,20150213,52.4822,53.1107,52.1679,53.1107,134690
MSN,20150212,51.5394,52.7965,51.5394,52.4822,134180
MSN,20150211,51.2251,52.4822,51.2251,51.5394,136510
MSN,20150210,51.8536,51.8536,51.2251,51.2251,116210
MSN,20150209,51.2251,51.8536,51.2251,51.2251,79360
MSN,20150206,50.9108,51.5394,50.5966,51.2251,41570
MSN,20150205,50.2823,51.2251,50.2823,51.2251,97330
MSN,20150204,50.2824,51.5394,49.6538,51.2251,105860
MSN,20150203,51.5394,51.8537,50.9109,50.9109,37120
MSN,20150202,52.7965,52.7965,51.8537,51.8537,67020
MSN,20150130,52.168,52.7965,51.8537,52.7965,34570
MSN,20150129,52.4822,52.4822,51.8537,51.8537,10820
MSN,20150128,52.4822,52.4822,51.5394,52.4822,46550
MSN,20150127,52.4822,52.7965,51.8537,52.1679,81070
MSN,20150126,52.4822,53.1107,52.4822,52.4822,30360
MSN,20150123,52.4822,52.7965,52.4822,52.4822,10850
MSN,20150122,52.4822,52.4822,51.8536,52.4822,58600
MSN,20150121,52.7965,52.7965,52.1679,52.1679,22090
MSN,20150120,53.425,53.7393,52.4822,52.4822,45150
MSN,20150119,53.425,53.425,52.4822,53.425,13290
MSN,20150116,52.1679,53.425,52.1679,53.425,118180
MSN,20150115,53.1107,53.1107,52.1679,53.1107,147100
MSN,20150114,53.7393,53.7393,53.1108,53.425,40770
MSN,20150113,53.7393,54.0536,53.425,53.7393,45490
MSN,20150112,53.1107,54.0535,53.1107,53.7393,328310
MSN,20150109,53.1107,53.425,52.7964,53.1107,296010
MSN,20150108,53.1107,53.425,52.7964,53.1107,134780
MSN,20150107,52.7964,53.425,52.7964,53.1107,120290
MSN,20150106,52.7965,53.425,52.1679,53.1107,165250
MSN,20150105,52.7964,53.1107,52.4822,52.4822,104510
MSN,20141231,50.9109,52.4822,50.9109,52.1679,166240
MSN,20141230,50.9109,51.8537,50.9109,50.9109,14610
MSN,20141229,51.5394,51.5394,50.9109,51.5394,23890
MSN,20141226,51.5394,51.8537,50.9109,50.9109,69930
MSN,20141225,51.8537,52.4822,51.5394,51.8537,5910
MSN,20141224,51.5394,52.4822,51.5394,52.4822,212470
MSN,20141223,50.2823,51.5394,50.2823,51.2251,57520
MSN,20141222,49.3395,50.2823,49.0253,50.2823,59610
MSN,20141219,48.711,49.0253,47.1397,48.711,2619470
MSN,20141218,49.6538,49.6538,49.0253,49.6538,504280
MSN,20141217,50.5966,50.9109,49.6538,49.6538,341360
MSN,20141216,51.5394,51.5394,50.5966,50.9109,80450
MSN,20141215,51.2251,52.7964,51.2251,51.2251,194120
MSN,20141212,51.5394,51.8537,50.9109,51.2251,53060
MSN,20141211,52.168,52.7965,50.9109,50.9109,377890
MSN,20141210,53.1107,53.425,52.4822,52.7965,121240
MSN,20141209,53.1107,54.3678,52.7964,53.1107,516420
MSN,20141208,51.5394,53.425,51.5394,53.1107,315560
MSN,20141205,51.2252,52.168,50.9109,51.8537,154990
MSN,20141204,51.2251,51.2251,50.9109,50.9109,55090
MSN,20141203,50.5966,51.2251,50.5966,50.5966,18960
MSN,20141202,50.9109,51.5394,50.5966,50.5966,59090
MSN,20141201,51.5394,51.5394,50.5966,51.5394,219510
MSN,20141128,50.9109,51.5394,50.5966,50.5966,59820
MSN,20141127,51.2252,51.5394,50.2824,50.9109,51270
MSN,20141126,51.8537,52.7965,51.5394,51.8537,346860
MSN,20141125,50.5966,51.8537,50.2824,51.8537,153690
MSN,20141124,50.5966,50.9109,49.9681,49.9681,85930
MSN,20141121,50.5966,51.8537,50.5966,51.5394,72010
MSN,20141120,51.2251,51.2251,50.2823,50.5966,46100
MSN,20141119,50.9109,51.8537,50.2824,50.2823,108230
MSN,20141118,52.7965,52.7965,50.9109,50.9109,101830
