<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNM,20160118,57.7567,57.7567,55.3299,56.786,1244120
VNM,20160115,59.2128,59.6981,58.242,58.242,495560
VNM,20160114,58.7274,59.2128,58.242,58.7274,338870
VNM,20160113,59.6981,59.6981,58.7274,58.7274,232630
VNM,20160112,58.7274,59.6981,58.7274,59.6981,288070
VNM,20160111,58.7274,59.6981,58.7274,58.7274,407320
VNM,20160108,59.6981,59.6981,58.7274,59.2127,615950
VNM,20160107,60.6688,60.6688,59.2127,60.1834,731010
VNM,20160106,60.6688,61.1542,60.1834,61.1541,250760
VNM,20160105,61.1541,61.6394,60.6688,60.6688,285680
VNM,20160104,62.1248,62.1248,60.6688,61.1541,469320
VNM,20151231,61.1541,63.0956,61.1541,62.1248,688500
VNM,20151230,61.6395,62.1249,61.1541,61.6395,309040
VNM,20151229,61.6395,61.6395,60.6688,61.6395,399590
VNM,20151228,60.6688,62.1248,60.1834,61.6395,821730
VNM,20151225,60.1834,60.6688,59.6981,60.1834,315630
VNM,20151224,60.1834,60.6688,59.6981,60.6688,316110
VNM,20151223,60.6688,60.6688,59.6981,60.1834,293550
VNM,20151222,61.1542,61.6395,60.6688,60.6688,434910
VNM,20151221,62.1248,62.1248,60.6688,60.6688,513240
VNM,20151218,62.1248,62.6101,61.6394,62.1248,315940
VNM,20151217,62.1248,62.6101,61.6394,62.1248,317610
VNM,20151216,61.6394,62.6101,61.1541,62.1248,662390
VNM,20151215,60.1834,61.6394,60.1834,61.1541,710870
VNM,20151214,59.6981,60.6688,59.2127,60.1834,237100
VNM,20151211,59.6981,60.6688,59.2127,59.6981,321070
VNM,20151210,59.6981,60.6688,59.2127,59.6981,252320
VNM,20151209,60.6688,61.6395,59.6981,59.6981,470630
VNM,20151208,58.242,60.6688,57.2713,60.6688,867200
VNM,20151207,59.2127,59.6981,58.242,58.242,354390
VNM,20151204,59.6981,59.6981,58.7274,59.6981,253990
VNM,20151203,59.6981,60.1835,58.7274,59.6981,383750
VNM,20151202,58.7274,60.1834,58.7274,59.6981,411960
VNM,20151201,60.1834,60.1834,58.7274,59.2127,1100600
VNM,20151130,60.6688,61.1541,59.6981,60.1834,840700
VNM,20151127,59.6981,61.6395,59.6981,60.1834,1118240
VNM,20151126,60.6688,61.1542,59.6981,59.6981,244790
VNM,20151125,59.2127,61.1542,58.242,60.6688,951140
VNM,20151124,61.6395,62.1249,58.7274,59.6981,2567070
VNM,20151123,64.5516,64.5516,61.1541,61.6395,1692040
VNM,20151120,63.0955,64.5516,63.0955,63.5809,708850
VNM,20151119,64.0662,65.0369,63.0955,63.0955,966290
VNM,20151118,64.5516,65.5222,63.0955,64.0662,1392690
VNM,20151117,67.949,67.949,64.5516,65.0369,1871240
VNM,20151116,66.493,67.9491,66.493,67.949,924150
VNM,20151113,64.0662,66.9783,64.0662,66.493,988430
VNM,20151112,63.5808,64.0662,62.1248,64.0662,546030
VNM,20151111,61.6394,64.0662,61.6394,63.0955,833270
VNM,20151110,61.6395,62.6102,61.1541,62.1248,649930
VNM,20151109,62.6102,63.0956,61.1541,61.6395,733490
VNM,20151106,62.1248,64.5516,61.6394,62.6102,1660510
VNM,20151105,60.1835,62.6102,59.6981,62.1248,922470
VNM,20151104,60.1835,60.6688,59.6981,59.6981,444780
VNM,20151103,58.7274,60.1835,57.7567,59.6981,2358440
VNM,20151102,57.2713,57.7567,56.3006,56.786,715500
VNM,20151030,57.7567,58.2421,56.786,57.2713,592790
VNM,20151029,55.8152,57.7567,55.8152,57.7567,1151780
VNM,20151028,55.8152,56.3006,55.3299,55.3299,366330
VNM,20151027,55.33,55.8153,54.8446,55.3299,393940
VNM,20151026,56.3007,56.786,54.8446,54.8446,766000
VNM,20151023,55.3299,55.8152,54.8445,55.8153,571020
VNM,20151022,54.3592,55.33,54.3592,55.3299,496060
VNM,20151021,53.8738,55.3299,53.8738,54.8446,725530
